

NCBIGENE:1	A1BG
NCBIGENE:1	ERROR
NCBIGENE:10	NAT2
NCBIGENE:10	NAT2
NCBIGENE:100	ERROR
NCBIGENE:1000	CDH2
NCBIGENE:10000	AKT3
NCBIGENE:100008586	GAGE12F
NCBIGENE:10001	MED6
NCBIGENE:10002	NR2E3
NCBIGENE:10003	NAALAD2
NCBIGENE:100033413	SNORD116-1
NCBIGENE:100037417	r":"API rate limit exceeded
NCBIGENE:10004	ERROR
NCBIGENE:100048912	CDKN2B-AS1
NCBIGENE:100049159	SPG37
NCBIGENE:100049587	ERROR
NCBIGENE:100049707	SPG38
NCBIGENE:10005	ACOT8
NCBIGENE:10006	ABI1"
NCBIGENE:10007	r"":""API rate limit exceeded"
NCBIGENE:10008	KCNE3
NCBIGENE:10009	ZBTB33"
NCBIGENE:1001	CDH3
NCBIGENE:10010	r"":""API rate limit exceeded"
NCBIGENE:100101267	POM121C
NCBIGENE:100101467	ZSCAN30
NCBIGENE:100101629	r":"API rate limit exceeded
NCBIGENE:10011	ERROR
NCBIGENE:100113407	TMEM170B
NCBIGENE:100124696	r":"API rate limit exceeded
NCBIGENE:100124700	HOTAIR
NCBIGENE:100125288	ZGLP1
NCBIGENE:100126297	ERROR
NCBIGENE:100126309	MIR875
NCBIGENE:100126313	MIR744
NCBIGENE:100126315	r":"API rate limit exceeded
NCBIGENE:100126318	r":"API rate limit exceeded
NCBIGENE:100126319	MIR216B
NCBIGENE:100126325	r":"API rate limit exceeded
NCBIGENE:100126326	MIR936
NCBIGENE:100126327	MIR938
NCBIGENE:100126332	MIR943
NCBIGENE:100126334	MIR885
NCBIGENE:100126335	MIR543
NCBIGENE:100126338	r":"API rate limit exceeded
NCBIGENE:100126345	r":"API rate limit exceeded
NCBIGENE:100126351	MIR939
NCBIGENE:100126355	MIR365A
NCBIGENE:100126356	MIR365B
NCBIGENE:100126572	GJE1
NCBIGENE:100127206	MINAR2
NCBIGENE:100127983	C8orf88
NCBIGENE:100128071	FAM229A
NCBIGENE:100128252	ZNF667-AS1
NCBIGENE:100128327	TRAPPC3L
NCBIGENE:100128553	CTAGE4
NCBIGENE:100128569	r":"API rate limit exceeded
NCBIGENE:100128731	OST4
NCBIGENE:100128927	ZBTB42
NCBIGENE:100129128	KHDC1L
NCBIGENE:100129216	r":"API rate limit exceeded
NCBIGENE:100129239	CXorf51A
NCBIGENE:100129271	C1orf68
NCBIGENE:100129278	TDRD15
NCBIGENE:100129361	SMIM10L1
NCBIGENE:100129385	r":"API rate limit exceeded
NCBIGENE:100129407	FAM236A
NCBIGENE:100129480	MKRN2OS
NCBIGENE:100129518	SOD2-OT1
NCBIGENE:100129520	TEX13C
NCBIGENE:100129543	ZNF730
NCBIGENE:100129583	FAM47E
NCBIGENE:100129654	TCF24
NCBIGENE:100129669	IZUMO3
NCBIGENE:100129792	CCDC152
NCBIGENE:100129842	ZNF737
NCBIGENE:100129969	FAM205C
NCBIGENE:10013	HDAC6
NCBIGENE:100130086	HSFX2
NCBIGENE:100130097	KIF28P
NCBIGENE:100130274	CCDC166
NCBIGENE:100130301	C8orf89
NCBIGENE:100130311	C17orf107
NCBIGENE:100130348	TMEM262
NCBIGENE:100130361	r":"API rate limit exceeded
NCBIGENE:100130519	TMEM221
NCBIGENE:100130520	CD300H
NCBIGENE:100130539	LINC02881
NCBIGENE:100130613	r":"API rate limit exceeded
NCBIGENE:100130705	ATP6V1FNB
NCBIGENE:100130733	LRRC70
NCBIGENE:100130742	LRRC69
NCBIGENE:100130827	SBK3
NCBIGENE:100130890	r":"API rate limit exceeded
NCBIGENE:100130933	SMIM6
NCBIGENE:100130958	SYCE1L
NCBIGENE:100131017	ZNF316
NCBIGENE:100131137	r":"API rate limit exceeded
NCBIGENE:100131187	TSTD1
NCBIGENE:100131211	NEMP2
